Time,Avg Voltage,Avg PF,Avg Current,Total Active power,Total Reactive power,Total Apparent power,THD Voltage L1,THD Voltage L2,THD Voltage L3,THD Current L1,THD Current L2,THD Current L3,Import MWh,Import MVAh
05:05,13066.05,0,0,0,0,0,0,2.91,1.84,0,0,0,111.79,113.96
04:50,13259.25,0,0,0,0,0,0,1.82,1.7,0,0,0,111.79,113.96
04:35,13275.95,0,0,0,0,0,0,1.16,1.92,0,0,0,111.79,113.96
04:05,13241.8,0,0,0,0,0,0,1.51,1.46,0,0,0,111.79,113.96
03:50,13247.5,0,0,0,0,0,0,2.13,1.26,0,0,0,111.79,113.96
03:35,13216.45,0,0,0,0,0,0,2.42,0.8,0,0,0,111.79,113.96
03:20,13254.05,0,0,0,0,0,0,2.09,1.76,0,0,0,111.79,113.96
03:05,13245.45,0,0,0,0,0,0,1.7,1.47,0,0,0,111.79,113.96
02:50,13140.75,0,0,0,0,0,0,1.33,1.45,0,0,0,111.79,113.96
02:35,13096.7,0,0,0,0,0,0,2.05,1.99,0,0,0,111.79,113.96
02:20,13100.25,0,0,0,0,0,0,1.37,1.72,0,0,0,111.79,113.96
02:05,13142.5,0,0,0,0,0,0,1.97,1.62,0,0,0,111.79,113.96
01:50,13102.85,0,0,0,0,0,0,1.72,1.83,0,0,0,111.79,113.96
01:20,13011.05,0,0,0,0,0,0,2.61,1.21,0,0,0,111.79,113.96
01:05,12859.7,0,0,0,0,0,0,2.25,1.64,0,0,0,111.79,113.96
00:50,12872.45,0,0,0,0,0,0,2.4,1.56,0,0,0,111.79,113.96
00:35,12850.7,0,0,0,0,0,0,1.7,1.76,0,0,0,111.79,113.96
00:20,12820.6,0,0,0,0,0,0,1.83,1.67,0,0,0,111.79,113.96
00:05,12898.5,0,0,0,0,0,0,1,1.26,0,0,0,111.79,113.96
